LED	VAL
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	772
b	772
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	772
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	772
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	770
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
b	771
r	411
r	411
r	411
r	411
r	411
r	411
r	411
r	412
r	411
r	411
r	411
r	411
r	411
r	411
r	412
r	412
r	412
r	412
r	411
r	411
r	412
r	411
r	411
r	411
r	411
r	411
r	411
r	411
r	411
r	411
r	411
r	411
r	411
r	412
r	411
r	411
r	412
r	412
r	412
r	411
r	412
r	412
r	412
r	411
r	411
r	412
r	412
r	412
r	411
r	412
r	411
r	411
r	412
r	412
r	411
r	412
r	412
r	411
r	412
r	412
r	412
r	412
r	412
r	412
r	412
r	411
r	412
r	412
r	412
r	412
r	412
r	411
r	412
r	411
r	412
r	411
r	412
r	412
r	412
r	412
r	412
r	412
r	412
r	412
r	412
r	412
r	411
r	412
r	412
r	412
r	411
r	412
r	412
r	412
r	412
r	412
r	412
r	412
r	412
r	412
g	703
g	703
g	703
g	703
g	703
g	702
g	702
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	702
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	703
g	704
g	703
g	704
g	704
g	703
g	703
g	703
g	703
g	703
g	704
g	704
g	703
g	703
g	704
g	704
g	703
g	703
g	703
g	704
g	704
g	703
g	703
g	704
g	704
g	703
g	703
g	703
g	703
g	704
g	703
g	704
o	1017
o	1017
o	1017
o	1017
o	1017
o	1018
o	1017
o	1017
o	1017
o	1018
o	1017
o	1017
o	1017
o	1017
o	1017
o	1018
o	1017
o	1017
o	1017
o	1017
o	1017
o	1017
o	1017
o	1017
o	1017
o	1017
o	1017
o	1017
o	1017
o	1017
o	1017
o	1017
o	1017
o	1017
o	1017
o	1017
o	1018
o	1018
o	1018
o	1018
o	1017
o	1018
o	1018
o	1018
o	1018
o	1017
o	1018
o	1017
o	1018
o	1017
o	1018
o	1018
o	1017
o	1018
o	1018
o	1018
o	1018
o	1018
o	1018
o	1018
o	1018
o	1018
o	1018
o	1018
o	1018
o	1017
o	1018
o	1018
o	1018
o	1018
o	1018
o	1018
o	1018
o	1018
o	1017
o	1018
o	1018
o	1018
o	1018
o	1018
o	1018
o	1018
o	1018
o	1018
o	1018
o	1018
o	1018
o	1018
o	1018
o	1018
o	1018
o	1018
o	1018
o	1018
o	1019
o	1018
o	1018
o	1018
o	1018
o	1018
