LED	VAL
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	768
b	769
b	769
b	768
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	768
b	769
b	769
b	769
b	769
b	769
b	768
b	768
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	768
b	769
b	769
b	769
b	768
b	769
b	769
b	769
b	769
b	769
b	768
b	768
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
b	769
r	353
r	353
r	353
r	353
r	352
r	352
r	353
r	353
r	352
r	353
r	353
r	353
r	353
r	353
r	352
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	352
r	352
r	353
r	353
r	353
r	352
r	352
r	353
r	352
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	352
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	352
r	353
r	353
r	353
r	353
r	353
r	353
r	352
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
r	353
g	763
g	763
g	762
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	763
g	764
g	764
g	763
g	763
g	763
g	763
g	764
g	763
g	763
g	763
g	764
g	763
g	763
g	763
g	764
g	764
g	763
g	764
g	764
g	764
g	764
g	763
g	763
g	764
g	764
g	764
g	764
g	764
g	764
g	763
g	764
g	764
g	764
g	764
g	764
g	764
g	764
g	764
g	764
g	764
g	764
g	764
g	764
g	764
g	764
g	763
g	764
g	764
g	764
g	764
g	764
g	764
g	764
g	764
o	1016
o	1016
o	1015
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1015
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1017
o	1016
o	1016
o	1016
o	1017
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1016
o	1017
o	1017
o	1017
o	1016
o	1016
o	1017
o	1016
o	1015
o	1017
o	1017
o	1017
o	1017
o	1017
o	1017
o	1017
o	1017
o	1017
o	1017
o	1017
o	1017
o	1017
o	1016
o	1017
o	1017
o	1017
o	1016
o	1017
o	1015
o	1017
o	1017
o	1017
o	1017
o	1016
o	1017
o	1017
o	1017
o	1017
o	1017
o	1017
o	1017
