LED	VAL
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	783
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	783
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	783
b	784
b	784
b	784
b	784
b	784
b	784
b	783
b	783
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	784
b	783
b	784
b	784
b	784
b	784
b	784
b	783
b	783
r	599
r	599
r	599
r	599
r	599
r	599
r	599
r	600
r	600
r	599
r	599
r	599
r	600
r	599
r	599
r	600
r	600
r	599
r	599
r	599
r	599
r	599
r	599
r	600
r	599
r	599
r	600
r	599
r	599
r	600
r	599
r	599
r	600
r	599
r	600
r	599
r	599
r	599
r	599
r	600
r	599
r	599
r	599
r	599
r	599
r	600
r	599
r	599
r	600
r	600
r	600
r	599
r	600
r	599
r	599
r	599
r	599
r	599
r	599
r	599
r	599
r	600
r	600
r	599
r	600
r	599
r	599
r	599
r	600
r	599
r	599
r	599
r	599
r	599
r	600
r	600
r	599
r	599
r	599
r	599
r	599
r	599
r	599
r	599
r	599
r	600
r	599
r	600
r	600
r	599
r	600
r	599
r	599
r	599
r	599
r	599
r	599
r	600
r	600
r	599
g	835
g	835
g	835
g	835
g	835
g	835
g	835
g	835
g	835
g	835
g	836
g	835
g	836
g	835
g	835
g	835
g	836
g	835
g	835
g	835
g	836
g	835
g	835
g	835
g	835
g	835
g	835
g	835
g	835
g	835
g	835
g	835
g	835
g	835
g	835
g	835
g	835
g	835
g	835
g	835
g	836
g	834
g	835
g	835
g	835
g	835
g	836
g	836
g	836
g	835
g	836
g	836
g	833
g	836
g	836
g	835
g	835
g	835
g	836
g	836
g	835
g	835
g	835
g	836
g	836
g	835
g	835
g	836
g	836
g	836
g	836
g	835
g	835
g	835
g	836
g	836
g	836
g	836
g	836
g	836
g	836
g	836
g	836
g	836
g	835
g	836
g	836
g	836
g	836
g	836
g	836
g	836
g	836
g	836
g	836
g	836
g	836
g	836
g	836
g	836
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	903
o	904
o	904
o	904
o	904
o	903
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	905
o	904
o	904
o	905
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	905
o	904
o	904
o	904
o	904
o	904
o	903
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
o	904
